Date,Oklahoma City Thunder,Cleveland Cavaliers,San Antonio Spurs,Toronto Raptors,Phoenix Suns,Sacramento Kings,Portland Trail Blazers,Washington Wizards,Orlando Magic,Utah Jazz,Detroit Pistons,Denver Nuggets,Atlanta Hawks,Indiana Pacers,Philadelphia 76ers,Memphis Grizzlies,Milwaukee Bucks,Charlotte Hornets,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Los Angeles Lakers,Golden State Warriors,Chicago Bulls,Boston Celtics,Los Angeles Clippers,Brooklyn Nets,Houston Rockets,Dallas Mavericks,Miami Heat
7/1/2015,1843,3895,3390,3123,2071,2336,2461,1555,1721,1187,2361,1268,2373,1207,2454,1495,1691,3412,2103,3342,3187,5585,5370,3679,3102,2300,1795,1827,2358,6712
7/2/2015,1888,4000,3607,2803,2949,3767,2449,1581,1606,1170,3093,1250,2211,1941,4277,1775,5098,2628,2082,2230,4397,5892,5449,3212,3501,3947,2027,1625,2652,3453
7/3/2015,1547,2926,3098,2133,2256,3839,2959,1762,1579,1112,3088,1252,1594,1887,2820,1480,3668,2437,1763,1723,4694,5467,4731,2998,2592,3484,2159,1578,5054,3757
7/4/2015,1707,2654,8695,2172,2206,5658,4146,1635,2439,1111,2582,1165,1591,1934,2498,1509,2240,2632,1914,1727,5439,5413,4850,3044,3131,3833,1946,1732,6039,3083
7/5/2015,1913,2693,7760,2379,1647,3801,4220,1534,2333,1146,2221,1151,1525,2478,2358,1537,1962,2703,1762,1659,4645,7692,4522,2864,2525,2882,1857,1656,3773,2899
7/6/2015,1939,3335,8719,3634,1465,3290,2714,1477,2115,1312,2972,1232,1537,2010,2566,1589,2626,2429,2061,2102,4019,8673,4120,2958,2810,2776,1950,1823,4288,2955
7/7/2015,1967,5012,9232,2356,1319,2851,2148,1689,2050,1762,4709,1109,1454,1819,2634,1565,3408,2618,2756,1906,4231,6030,4716,3290,3756,2706,1693,1675,3366,2783
7/8/2015,1581,3009,4750,1835,1249,2114,1724,1638,1714,1398,2161,1022,1329,1414,2138,1154,2193,2299,2133,1684,2937,4973,4534,2584,3546,3204,1576,1429,3302,2551
7/9/2015,1952,3893,6946,3284,1906,2676,2480,1660,1859,1211,2253,1056,1673,1652,2162,1299,2093,17161,2230,5842,3472,6516,4233,2883,2888,7238,2017,1818,6427,3345
7/10/2015,2070,4150,7513,2953,2640,2973,2708,1666,1778,1864,2534,1309,2020,2280,2451,1456,2654,7429,2088,4402,4063,8800,4146,2980,2988,4222,2723,1823,5772,4591
7/11/2015,1610,3233,5328,2148,1696,2792,1885,1571,1403,1317,2097,1238,1524,1653,2605,1245,1904,3121,2466,1804,3794,5660,3978,2754,2604,3249,2420,1647,4072,4802
7/12/2015,1577,2768,4070,1988,1479,2551,1883,1480,1402,1346,2519,1195,1379,1783,2810,1157,1687,2850,2034,1743,3200,4986,3446,2869,2575,2557,2223,1569,2836,3081
7/13/2015,2167,2507,4607,2200,1329,2688,2218,1555,1481,1208,2181,1443,1593,1424,2275,1249,2491,3207,1876,1987,3160,4412,3762,2894,2651,2446,2512,1751,2937,3026
7/14/2015,1670,2330,3536,1912,1335,4224,1665,1384,1327,1183,2205,1300,1322,1589,2004,1216,2091,3098,1837,1756,3637,4248,3491,2495,2699,2304,2079,1531,2295,2726
7/15/2015,1600,2181,3002,1907,1214,2803,1481,1407,1184,1310,1783,1088,1295,1691,1962,1030,2016,2557,1725,1491,3011,3805,3168,2452,2757,2117,2084,1453,4127,2555
7/16/2015,1441,2227,2924,1813,1070,2213,1466,1223,1077,1008,1638,945,1181,1277,1743,1070,2153,2229,1632,1381,2497,3600,3981,2466,2137,3111,1723,1378,2757,2179
7/17/2015,1426,2233,3223,1562,1121,2020,1459,1175,989,1009,1583,1069,1198,1206,1646,1072,1671,2090,1330,1524,2383,3461,3510,2375,2169,4612,1495,1645,2245,2120
7/18/2015,1156,2129,3302,1519,1261,1710,1133,1193,890,1027,1479,850,988,1046,1387,907,1383,1906,1215,1196,2034,2959,2759,2058,1819,2357,1368,1384,1749,1829
7/19/2015,1128,1921,2678,1507,1267,1693,1236,1111,980,904,1532,852,1084,1058,1475,1069,1205,1995,1244,1423,1871,2995,3018,2099,1933,2023,1423,1258,1511,1855
7/20/2015,1349,2257,3405,1658,1419,1736,1258,1241,1172,994,2055,2896,1160,1036,1775,1242,1669,2145,1438,1562,2285,3956,3311,4630,2500,2756,1557,4281,1865,2223
7/21/2015,1385,2599,5129,1663,1412,2355,1612,1365,1381,946,1998,1780,1255,1521,1745,1164,1544,2170,1304,1368,2546,5272,3143,4032,2479,3147,1686,2735,2228,2256
7/22/2015,1414,2787,3748,1850,1224,3108,1457,1306,1242,989,1980,1336,1386,1474,1805,1106,1487,2875,1236,1702,2283,4918,3319,3183,2377,3774,1507,2053,2212,2120
7/23/2015,1323,2400,3696,1887,1103,3109,1379,1370,1202,976,1818,1203,1323,1336,1701,1012,1509,2466,1182,1302,2208,4742,2918,2716,2253,3074,1521,1776,2106,2327
7/24/2015,1229,2374,2682,1607,1057,2329,1188,1142,1038,1258,1657,1003,1110,1372,1534,925,1436,1984,1227,1088,2042,3784,2969,2518,2191,2450,1387,2100,1902,2277
7/25/2015,1177,1972,2274,1319,977,2105,1210,1057,1074,986,1498,901,1125,1100,1463,803,1213,1830,1071,1003,1922,3408,2671,2184,2178,2117,1220,1573,1943,1861
7/26/2015,1077,1843,2213,1473,900,2166,1213,1031,1287,851,1421,864,1022,1080,1357,830,1182,1696,1017,936,1808,3110,2622,2043,2032,1809,1185,1524,1908,2021
7/27/2015,1168,3084,2221,1658,959,2111,1735,1249,1519,851,1447,997,1099,1075,1477,833,1225,1809,1107,1063,1999,3273,3146,2136,2938,1862,1318,1677,1708,2657
7/28/2015,1281,2634,2829,1534,951,2105,1440,1353,1307,891,1670,1016,1203,1172,1393,967,1478,2103,1260,1173,2065,3519,3361,2335,3805,1900,1287,1445,1691,2632
7/29/2015,1121,1954,2321,1463,882,1653,1211,1027,1082,914,1710,901,986,1024,1423,916,1654,1935,1065,1041,1820,3247,2848,2359,2675,1943,1346,1483,1532,2055
7/30/2015,1180,1947,2019,1622,870,1638,1174,1130,1101,881,1635,928,969,878,1350,931,1199,1802,1447,937,2059,3028,2764,2260,2167,1971,1174,1634,1944,1989
7/31/2015,1222,1671,1900,1520,832,1889,1172,976,1057,837,1545,752,1041,911,1370,807,1163,1485,1072,972,1954,3012,2684,2108,1983,1788,1163,1375,2075,1684
8/1/2015,1077,1648,1665,1402,846,1832,1105,1040,930,756,1395,986,949,892,1559,825,1081,1536,1057,889,1920,2634,2922,1899,2801,1702,1160,1304,1646,1765
8/2/2015,1022,1679,1904,1347,765,1500,1112,1090,901,761,5428,854,877,784,1378,761,1260,1632,966,913,1794,2769,2632,2304,1900,1646,1212,1368,1401,1755
8/3/2015,1066,1552,1842,1264,783,1424,1053,935,804,788,1802,755,876,802,1358,691,1066,1860,947,1013,1723,2570,2381,1830,1759,1534,1023,1145,1260,1803
8/4/2015,1157,1681,1979,2911,863,1512,1080,1119,931,864,1631,814,998,822,1423,793,1118,1894,1043,903,2112,2730,2704,2033,1790,1564,1210,1258,1404,1998
8/5/2015,1011,1614,1721,2004,745,1718,1055,1172,973,837,1568,846,943,766,1248,770,1083,1613,1016,941,2153,2868,2415,1984,1864,1661,1159,1374,1468,1642
8/6/2015,1063,2022,2263,1632,870,1544,1141,1080,994,1021,1442,704,1028,776,1353,1040,1252,1527,958,901,2427,2655,2405,1984,1644,1834,1293,1471,1505,1785
8/7/2015,1000,1740,1749,1342,773,1452,950,983,914,886,1235,774,884,843,1198,792,1043,1323,845,837,2156,2498,2232,1924,1611,1538,1075,1120,1482,1574
8/8/2015,972,1573,1513,1309,778,1685,953,896,876,780,1190,771,895,788,1165,676,948,1330,888,867,2466,2570,2192,1815,1539,1536,1018,1105,1204,1753
8/9/2015,1001,1538,1464,1361,746,1612,927,1019,849,758,1304,816,916,769,1132,750,961,1358,941,865,2017,2826,2171,1748,1523,1409,993,1028,1196,1992
8/10/2015,907,1579,1549,1278,731,1539,942,1030,938,786,1331,748,888,782,1245,700,1014,1550,952,925,2005,2702,2226,2332,1717,1344,1116,1056,1136,1790
8/11/2015,1066,1627,1500,1400,764,1534,1006,1093,823,800,1402,689,1049,850,1383,658,1204,1463,1040,845,2047,2723,2450,2194,1701,1784,1151,1003,1209,1632
8/12/2015,1063,1641,1560,1355,943,1413,973,973,878,851,1447,794,1045,867,1329,746,1427,1566,1092,998,1982,2600,2458,2050,1697,1692,1267,1110,1283,1631
8/13/2015,1351,1685,1738,1404,901,1625,1112,1103,954,823,1505,842,1123,902,1431,890,1398,1659,1131,1104,1973,3017,2436,2024,1804,1619,1279,1288,1764,1703
8/14/2015,1157,1554,1497,1354,734,1346,958,944,915,685,1488,654,828,736,1355,719,993,1458,1159,874,1755,3697,2452,2058,2075,1402,1121,1147,1774,1516
8/15/2015,991,1462,1395,1151,656,1290,773,913,797,602,1219,687,959,651,1149,656,903,1384,1254,827,1500,2618,2174,1792,1526,1246,946,1107,1255,1400
8/16/2015,932,1496,1454,1124,698,1364,815,875,791,623,1159,645,925,730,1210,669,884,1392,1059,846,1649,2493,2319,1853,1450,1404,1049,1151,1363,1478
8/17/2015,969,1698,1410,1265,765,1644,998,1057,901,784,1321,798,941,744,1449,869,1048,1476,943,893,1802,2727,2514,2072,1737,1540,1194,1188,1486,1648
8/18/2015,1039,1625,1433,1238,705,1493,1171,999,892,758,1279,740,962,716,1389,816,1056,1472,921,887,1858,2575,2262,2050,1806,1431,1178,1274,1378,1660
8/19/2015,964,1488,1405,1223,694,1451,1009,947,836,722,1255,805,1078,704,1405,771,1052,1490,855,1014,1780,2666,2316,2048,1744,1395,1077,1224,1307,1623
8/20/2015,1000,1466,1283,1253,747,1393,910,893,789,702,1422,634,1030,795,1348,708,1041,1489,1028,886,1676,2492,2139,1963,1683,1345,1032,1196,1214,1753
8/21/2015,825,2101,1309,1339,743,1516,930,841,812,745,2017,615,880,746,1293,718,924,1320,1115,999,1555,2767,2301,2006,1612,1302,977,1142,1149,1642
8/22/2015,831,1544,1204,1050,629,1295,839,898,732,611,1325,575,825,653,1065,588,776,1464,853,836,1405,2339,1960,2172,1525,1305,982,953,989,1553
8/23/2015,996,1919,1281,1073,720,1257,866,920,688,666,1499,612,809,652,1097,581,824,1518,913,935,1523,2879,2159,1965,1761,1352,1140,948,962,1755
8/24/2015,942,1686,1361,1087,753,1296,925,865,793,724,1152,687,1034,906,1109,687,918,1359,891,855,1557,2644,2116,2006,1571,1269,1142,1014,1150,1516
