Date,Oklahoma City Thunder,New York Knicks,Los Angeles Lakers,Golden State Warriors,Chicago Bulls,Boston Celtics,Los Angeles Clippers,Brooklyn Nets,Houston Rockets,Dallas Mavericks,Miami Heat,Cleveland Cavaliers,San Antonio Spurs,Toronto Raptors,Phoenix Suns,Sacramento Kings,Portland Trail Blazers,Washington Wizards,Orlando Magic,Utah Jazz,Detroit Pistons,Denver Nuggets,Atlanta Hawks,Indiana Pacers,Philadelphia 76ers,Memphis Grizzlies,Milwaukee Bucks,Charlotte Hornets,Minnesota Timberwolves,New Orleans Pelicans
2015-07,47108,91662,146436,113540,85458,81761,89959,53421,54258,90674,86404,84618,130817,62482,44066,82303,58484,42543,44389,34959,65425,36371,42550,45328,62658,36410,60993,93101,50677,55069
2015-08,30660,55272,83446,70879,62804,51937,44770,34637,35241,39834,51262,49415,46685,40221,23193,44640,29822,29901,25868,23527,47073,22083,28260,23440,41135,22366,30848,45856,29142,28183
2015-09,29614,47063,77511,71109,59684,44160,41269,33237,32915,35797,43772,46212,45142,38299,22731,39159,26985,28249,23112,23260,34762,23734,28455,20997,40407,21310,28552,43864,32441,26125
2015-10,63236,84840,126255,124741,97345,77381,77534,63833,55876,60707,72289,83177,73385,71877,42934,71590,47676,54092,49184,42488,69733,43252,51555,42947,59298,44786,52592,81516,75167,75254
2015-11,70780,95547,136519,288421,104794,89609,79125,69363,65401,74388,82237,83599,81630,78890,48181,104075,52252,60495,50589,50592,76162,47313,52776,50293,93703,53434,55723,105131,65464,87845
2015-12,65858,78693,146935,339787,106328,96254,64372,59227,53766,56153,80286,80854,90458,65086,42028,73385,41651,56208,43637,44340,77378,36478,41082,43798,103076,42188,57363,113257,44249,84732
2016-01,60731,77526,128210,237765,103779,79114,67790,60660,48683,60377,75771,107326,110216,71011,37659,76389,39397,58931,39748,39523,88715,40314,40685,33904,75079,37146,39474,101081,41543,59548
2016-02,76379,75481,121385,248843,97404,87732,59597,53073,46664,50144,81032,79151,86575,80023,45345,69278,47525,56564,52352,43386,81405,38409,41443,35427,58976,44042,38386,94998,48718,67795
2016-03,70082,66588,116716,244369,93796,81923,62318,47975,47107,46533,72125,74908,107783,64783,37165,60368,42311,55178,38474,39585,59967,32648,38952,32822,60906,40997,57708,90727,39836,56508
2016-04,90416,71007,222451,382211,144789,124038,81563,53470,78591,77640,114309,93166,133915,108479,40822,95059,66835,58132,112544,46399,97775,32448,61006,52309,88980,64894,38540,192128,56424,61891
